Index,Art,Schnabellaenge,Schnabelhoehe
91,Adeliepinguin,41.1,18.1
92,Adeliepinguin,34.0,17.1
93,Adeliepinguin,39.6,18.1
94,Adeliepinguin,36.2,17.3
95,Adeliepinguin,40.8,18.9
96,Adeliepinguin,38.1,18.6
97,Adeliepinguin,40.3,18.5
98,Adeliepinguin,33.1,16.1
99,Adeliepinguin,43.2,18.5
100,Adeliepinguin,35.0,17.9
101,Adeliepinguin,41.0,20.0
102,Adeliepinguin,37.7,16.0
103,Adeliepinguin,37.8,20.0
104,Adeliepinguin,37.9,18.6
105,Adeliepinguin,39.7,18.9
106,Adeliepinguin,38.6,17.2
107,Adeliepinguin,38.2,20.0
108,Adeliepinguin,38.1,17.0
109,Adeliepinguin,43.2,19.0
110,Adeliepinguin,38.1,16.5
111,Adeliepinguin,45.6,20.3
112,Adeliepinguin,39.7,17.7
113,Adeliepinguin,42.2,19.5
114,Adeliepinguin,39.6,20.7
115,Adeliepinguin,42.7,18.3
116,Adeliepinguin,38.6,17.0
117,Adeliepinguin,37.3,20.5
118,Adeliepinguin,35.7,17.0
119,Adeliepinguin,41.1,18.6
120,Adeliepinguin,36.2,17.2
121,Adeliepinguin,37.7,19.8
122,Adeliepinguin,40.2,17.0
123,Adeliepinguin,41.4,18.5
124,Adeliepinguin,35.2,15.9
125,Adeliepinguin,40.6,19.0
126,Adeliepinguin,38.8,17.6
127,Adeliepinguin,41.5,18.3
128,Adeliepinguin,39.0,17.1
129,Adeliepinguin,44.1,18.0
130,Adeliepinguin,38.5,17.9
131,Adeliepinguin,43.1,19.2
132,Adeliepinguin,36.8,18.5
133,Adeliepinguin,37.5,18.5
134,Adeliepinguin,38.1,17.6
135,Adeliepinguin,41.1,17.5
136,Adeliepinguin,35.6,17.5
137,Adeliepinguin,40.2,20.1
138,Adeliepinguin,37.0,16.5
139,Adeliepinguin,39.7,17.9
140,Adeliepinguin,40.2,17.1
141,Adeliepinguin,40.6,17.2
142,Adeliepinguin,32.1,15.5
143,Adeliepinguin,40.7,17.0
144,Adeliepinguin,37.3,16.8
145,Adeliepinguin,39.0,18.7
146,Adeliepinguin,39.2,18.6
147,Adeliepinguin,36.6,18.4
148,Adeliepinguin,36.0,17.8
149,Adeliepinguin,37.8,18.1
150,Adeliepinguin,36.0,17.1
151,Adeliepinguin,41.5,18.5
152,Zuegelpinguin,46.5,17.9
153,Zuegelpinguin,50.0,19.5
154,Zuegelpinguin,51.3,19.2
155,Zuegelpinguin,45.4,18.7
156,Zuegelpinguin,52.7,19.8
157,Zuegelpinguin,45.2,17.8
158,Zuegelpinguin,46.1,18.2
159,Zuegelpinguin,51.3,18.2
160,Zuegelpinguin,46.0,18.9
161,Zuegelpinguin,51.3,19.9
162,Zuegelpinguin,46.6,17.8
163,Zuegelpinguin,51.7,20.3
164,Zuegelpinguin,47.0,17.3
165,Zuegelpinguin,52.0,18.1
166,Zuegelpinguin,45.9,17.1
167,Zuegelpinguin,50.5,19.6
168,Zuegelpinguin,50.3,20.0
169,Zuegelpinguin,58.0,17.8
170,Zuegelpinguin,46.4,18.6
171,Zuegelpinguin,49.2,18.2
172,Zuegelpinguin,42.4,17.3
173,Zuegelpinguin,48.5,17.5
174,Zuegelpinguin,43.2,16.6
175,Zuegelpinguin,50.6,19.4
176,Zuegelpinguin,46.7,17.9
177,Zuegelpinguin,52.0,19.0
178,Zuegelpinguin,50.5,18.4
179,Zuegelpinguin,49.5,19.0
180,Zuegelpinguin,46.4,17.8
181,Zuegelpinguin,52.8,20.0
182,Zuegelpinguin,40.9,16.6
183,Zuegelpinguin,54.2,20.8
184,Zuegelpinguin,42.5,16.7
185,Zuegelpinguin,51.0,18.8
186,Zuegelpinguin,49.7,18.6
187,Zuegelpinguin,47.5,16.8
188,Zuegelpinguin,47.6,18.3
189,Zuegelpinguin,52.0,20.7
190,Zuegelpinguin,46.9,16.6
191,Zuegelpinguin,53.5,19.9
192,Zuegelpinguin,49.0,19.5
193,Zuegelpinguin,46.2,17.5
194,Zuegelpinguin,50.9,19.1
195,Zuegelpinguin,45.5,17.0
196,Zuegelpinguin,50.9,17.9
197,Zuegelpinguin,50.8,18.5
198,Zuegelpinguin,50.1,17.9
199,Zuegelpinguin,49.0,19.6
200,Zuegelpinguin,51.5,18.7
201,Zuegelpinguin,49.8,17.3
202,Zuegelpinguin,48.1,16.4
203,Zuegelpinguin,51.4,19.0
204,Zuegelpinguin,45.7,17.3
205,Zuegelpinguin,50.7,19.7
206,Zuegelpinguin,42.5,17.3
207,Zuegelpinguin,52.2,18.8
208,Zuegelpinguin,45.2,16.6
209,Zuegelpinguin,49.3,19.9
210,Zuegelpinguin,50.2,18.8
211,Zuegelpinguin,45.6,19.4
212,Zuegelpinguin,51.9,19.5
213,Zuegelpinguin,46.8,16.5
214,Zuegelpinguin,45.7,17.0
215,Zuegelpinguin,55.8,19.8
216,Zuegelpinguin,43.5,18.1
217,Zuegelpinguin,49.6,18.2
218,Zuegelpinguin,50.8,19.0
219,Zuegelpinguin,50.2,18.7
220,Eselspinguin,46.1,13.2
221,Eselspinguin,50.0,16.3
222,Eselspinguin,48.7,14.1
223,Eselspinguin,50.0,15.2
224,Eselspinguin,47.6,14.5
225,Eselspinguin,46.5,13.5
226,Eselspinguin,45.4,14.6
227,Eselspinguin,46.7,15.3
228,Eselspinguin,43.3,13.4
229,Eselspinguin,46.8,15.4
230,Eselspinguin,40.9,13.7
231,Eselspinguin,49.0,16.1
232,Eselspinguin,45.5,13.7
233,Eselspinguin,48.4,14.6
234,Eselspinguin,45.8,14.6
235,Eselspinguin,49.3,15.7
236,Eselspinguin,42.0,13.5
237,Eselspinguin,49.2,15.2
238,Eselspinguin,46.2,14.5
239,Eselspinguin,48.7,15.1
240,Eselspinguin,50.2,14.3
241,Eselspinguin,45.1,14.5
242,Eselspinguin,46.5,14.5
243,Eselspinguin,46.3,15.8
244,Eselspinguin,42.9,13.1
245,Eselspinguin,46.1,15.1
246,Eselspinguin,44.5,14.3
247,Eselspinguin,47.8,15.0
248,Eselspinguin,48.2,14.3
249,Eselspinguin,50.0,15.3
250,Eselspinguin,47.3,15.3
251,Eselspinguin,42.8,14.2
252,Eselspinguin,45.1,14.5
253,Eselspinguin,59.6,17.0
254,Eselspinguin,49.1,14.8
255,Eselspinguin,48.4,16.3
256,Eselspinguin,42.6,13.7
257,Eselspinguin,44.4,17.3
258,Eselspinguin,44.0,13.6
259,Eselspinguin,48.7,15.7
260,Eselspinguin,42.7,13.7
261,Eselspinguin,49.6,16.0
262,Eselspinguin,45.3,13.7
263,Eselspinguin,49.6,15.0
264,Eselspinguin,50.5,15.9
265,Eselspinguin,43.6,13.9
266,Eselspinguin,45.5,13.9
267,Eselspinguin,50.5,15.9
268,Eselspinguin,44.9,13.3
269,Eselspinguin,45.2,15.8
270,Eselspinguin,46.6,14.2
271,Eselspinguin,48.5,14.1
272,Eselspinguin,45.1,14.4
273,Eselspinguin,50.1,15.0
274,Eselspinguin,46.5,14.4
275,Eselspinguin,45.0,15.4
276,Eselspinguin,43.8,13.9
277,Eselspinguin,45.5,15.0
278,Eselspinguin,43.2,14.5
279,Eselspinguin,50.4,15.3
280,Eselspinguin,45.3,13.8
281,Eselspinguin,46.2,14.9
282,Eselspinguin,45.7,13.9
283,Eselspinguin,54.3,15.7
284,Eselspinguin,45.8,14.2
285,Eselspinguin,49.8,16.8
286,Eselspinguin,46.2,14.4
287,Eselspinguin,49.5,16.2
288,Eselspinguin,43.5,14.2
289,Eselspinguin,50.7,15.0
290,Eselspinguin,47.7,15.0
291,Eselspinguin,46.4,15.6
292,Eselspinguin,48.2,15.6
293,Eselspinguin,46.5,14.8
294,Eselspinguin,46.4,15.0
295,Eselspinguin,48.6,16.0
296,Eselspinguin,47.5,14.2
297,Eselspinguin,51.1,16.3
298,Eselspinguin,45.2,13.8
299,Eselspinguin,45.2,16.4
300,Eselspinguin,49.1,14.5
301,Eselspinguin,52.5,15.6
302,Eselspinguin,47.4,14.6
303,Eselspinguin,50.0,15.9
304,Eselspinguin,44.9,13.8
305,Eselspinguin,50.8,17.3
306,Eselspinguin,43.4,14.4
307,Eselspinguin,51.3,14.2
308,Eselspinguin,47.5,14.0
309,Eselspinguin,52.1,17.0
310,Eselspinguin,47.5,15.0
311,Eselspinguin,52.2,17.1
312,Eselspinguin,45.5,14.5
313,Eselspinguin,49.5,16.1
314,Eselspinguin,44.5,14.7
315,Eselspinguin,50.8,15.7
316,Eselspinguin,49.4,15.8
317,Eselspinguin,46.9,14.6
318,Eselspinguin,48.4,14.4
319,Eselspinguin,51.1,16.5
320,Eselspinguin,48.5,15.0
321,Eselspinguin,55.9,17.0
322,Eselspinguin,47.2,15.5
323,Eselspinguin,49.1,15.0
324,Eselspinguin,47.3,13.8
325,Eselspinguin,46.8,16.1
326,Eselspinguin,41.7,14.7
327,Eselspinguin,53.4,15.8
328,Eselspinguin,43.3,14.0
329,Eselspinguin,48.1,15.1
330,Eselspinguin,50.5,15.2
331,Eselspinguin,49.8,15.9
332,Eselspinguin,43.5,15.2
333,Eselspinguin,51.5,16.3
334,Eselspinguin,46.2,14.1
335,Eselspinguin,55.1,16.0
336,Eselspinguin,44.5,15.7
337,Eselspinguin,48.8,16.2
338,Eselspinguin,47.2,13.7
339,Eselspinguin,NULL,NULL
340,Eselspinguin,46.8,14.3
341,Eselspinguin,50.4,15.7
342,Eselspinguin,45.2,14.8
343,Eselspinguin,49.9,16.1
